SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1023;nat;natuurkunde;;0;0;19;6,3;19;6,3;19;6,9;19;6,9;6,5
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1024;wisA;wiskunde A;;0;0;66;5,7;66;5,7;66;6,1;66;6,1;6,0
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1025;wisB;wiskunde B;;0;0;18;6,5;18;6,5;18;6,7;18;6,7;6,7
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1028;schk;scheikunde;;0;0;27;5,9;27;5,9;27;6,7;27;6,7;6,4
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1034;maw;maatschappijwetenschappen;;0;0;41;6,0;41;6,0;41;5,1;41;5,1;5,7
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1036;hndv;handvaardigheid;;0;0;5;6,5;5;6,5;5;7,0;5;7,0;6,8
2011;00AH;07;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;23;7,2;0;0,0;0;0,0;0;0,0;7,3
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0131;ak;aardrijkskunde;;0;0;25;6,2;25;6,2;25;6,0;25;6,0;6,2
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0161;in;informatica;;0;0;13;7,4;0;0,0;0;0,0;0;0,0;7,5
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0251;m&o;management en organisatie;;0;0;29;5,5;29;5,5;29;6,2;29;6,2;5,8
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0301;anw;algemene natuurwetenschappen;;0;0;3;6,7;0;0,0;0;0,0;0;0,0;6,7
2011;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding;G;31;31;0;0,0;0;0,0;0;0,0;0;0,0;0,0
