SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1019;maat;maatschappijleer;;0;0;88;6,6;0;,0;0;,0;0;,0;6,6;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;44;44;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;45;45;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1021;ges;geschiedenis;;0;0;50;5,8;50;5,8;50;6,5;50;6,5;6,2;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1022;econ;economie;;0;0;42;5,6;42;5,6;42;5,9;42;5,9;5,9;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1023;nat;natuurkunde;;0;0;27;5,9;27;5,9;27;5,6;27;5,6;5,9;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1024;wisA;wiskunde A;;0;0;33;6,0;33;6,0;33;6,4;33;6,4;6,2;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1025;wisB;wiskunde B;;0;0;38;6,1;38;6,1;38;5,1;38;5,1;5,6;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1028;schk;scheikunde;;0;0;40;5,7;40;5,7;40;5,6;40;5,6;5,7;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1030;kubv;kunst (beeldende vormgeving);;0;0;13;7,1;13;7,1;13;6,4;13;6,4;6,8;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1031;kumu;kunst (muziek);;0;0;8;6,6;8;6,6;8;6,0;8;6,0;6,3;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;24;6,9;0;,0;0;,0;0;,0;7,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;14;6,9;0;,0;0;,0;0;,0;6,9;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1107;rkt;Rekentoets;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,2
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0131;ak;aardrijkskunde;;0;0;14;6,3;14;6,3;14;5,3;14;5,3;5,9;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0251;m&o;management en organisatie;;0;0;29;5,9;29;5,9;29;5,9;29;5,9;5,9;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0270;te;tekenen;;0;0;9;7,2;9;7,2;9;6,2;9;6,2;6,6;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;28;28;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);V;45;45;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;75;6,2;75;6,2;75;6,2;75;6,2;6,2;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;75;6,4;75;6,4;75;6,4;75;6,4;6,4;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;16;6,3;16;6,3;16;5,7;16;5,7;6,1;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;26;6,0;26;6,0;26;5,8;26;5,8;5,8;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1018;biol;biologie;;0;0;13;6,2;13;6,2;13;5,9;13;5,9;6,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1019;maat;maatschappijleer;;0;0;75;6,1;0;,0;0;,0;0;,0;6,1;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;28;28;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;43;43;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1021;ges;geschiedenis;;0;0;55;6,6;55;6,6;55;5,5;55;5,5;6,0;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1022;econ;economie;;0;0;58;6,0;58;6,0;58;5,4;58;5,4;5,7;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1023;nat;natuurkunde;;0;0;13;6,2;13;6,2;13;5,6;13;5,6;6,1;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1024;wisA;wiskunde A;;0;0;59;6,5;59;6,5;59;6,0;59;6,0;6,3;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1025;wisB;wiskunde B;;0;0;14;6,2;14;6,2;14;7,1;14;7,1;6,6;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1028;schk;scheikunde;;0;0;20;6,4;20;6,4;20;7,0;20;7,0;6,9;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1034;maw;maatschappijwetenschappen;;0;0;12;6,1;12;6,1;12;6,3;12;6,3;6,2;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;17;6,7;0;,0;0;,0;0;,0;6,7;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1036;hndv;handvaardigheid;;0;0;20;6,7;20;6,7;20;5,9;20;5,9;6,4;,0
2014;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1107;rkt;Rekentoets;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,3
2014;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0131;ak;aardrijkskunde;;0;0;15;6,8;15;6,8;15;6,5;15;6,5;6,6;,0
2014;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;2;2;0;,0;0;,0;0;,0;0;,0;,0;,0
